episode,title,type,note
53,Long Time No See: Jiraiya Returns!,must-watch,Jiraiya arrive
54,The Summoning Jutsu: Wisdom of the Toad Sage!,must-watch,Invocation
55,A Feeling of Yearning a Flower of Hope,optional,Filler
56,Live or Die: Risk it All to Win it All!,must-watch,Entraînement
57,He Flies! He Jumps! He Lurks! Chief Toad Appears!,must-watch,Gamabunta
58,Forecast: Death! Cloudy with Chance of Sun!,optional,Filler
59,The Final Rounds: Rush to the Battle Arena!,must-watch,Début finales
60,Byakugan vs. Shadow Clone,must-watch,Hinata vs Neji début
61,Ultimate Defense: Zero Blind Spot!,must-watch,Byakugan complet
62,A Failure's True Power,must-watch,Naruto soutient Hinata
63,Hit it or Quit it: The Final Rounds Get Complicated!,must-watch,Tirage au sort
64,Zero Motivation: The Guy with Cloud Envy!,skip,Filler - À éviter
65,Dancing Leaf: Super Crimson Fang!,skip,Filler - À éviter
66,Booming Strike: Tsunade's Choice!,skip,Filler - À éviter
67,Assault of the Crazed Ninja!,skip,Filler - À éviter
68,An Unrivaled Match: Hokage Battle Royale!,skip,Filler - À éviter
69,An Unrivaled Match: Hokage Battle Royale Part 2!,skip,Filler - À éviter
70,A Shirker's Call to Action: A Layabout No More!,skip,Filler - À éviter
71,An Unrivaled Match: Hokage Battle Royale Part 3!,skip,Filler - À éviter
72,A Mistake from the Past: A Face Revealed!,skip,Filler - À éviter
73,Forbidden Secret Jutsu: Shiki Fujin!,skip,Filler - À éviter
74,Astonishing Truth! Gaara's Identity Emerges!,skip,Filler - À éviter
75,Sasuke's Decision: Pushed to the Edge!,skip,Filler - À éviter
76,Assassin of the Moonlit Night,skip,Filler - À éviter
77,Light vs. Dark: The Two Faces of Gaara,skip,Filler - À éviter
78,Naruto's Ninja Handbook,skip,Filler - À éviter
