episode,title,type,note,source
1,Enter: Naruto Uzumaki!,must-watch,Pilote - Introduction de Naruto,animefillerlist
2,My Name is Konohamaru!,must-watch,Introduction de Konohamaru,
3,Sasuke and Sakura: Friends or Foes?,optional,Développement relation,
4,Pass or Fail: Survival Test,optional,Test de survie,
5,You Failed! Kakashi's Final Decision,must-watch,Décision de Kakashi,
6,A Dangerous Mission! Journey to the Land of Waves!,must-watch,Début arc Land of Waves,
7,The Assassin of the Mist!,must-watch,Zabuza apparaît,
8,The Oath of Pain,must-watch,Combat Naruto vs Zabuza,
9,Kakashi: Sharingan Warrior!,must-watch,Kakashi Sharingan,
10,The Forest of Chakra,must-watch,Suite combat,
11,The Land Where a Hero Once Lived,must-watch,Histoire de Haku,
12,Battle on the Bridge! Zabuza Returns!!,must-watch,Combat final,
13,Haku's Secret Jutsu: Crystal Ice Mirrors,must-watch,Secret de Haku,
14,The Number One Hyperactive Knucklehead Ninja Joins the Fight!,must-watch,Naruto se bat,
15,Zero Visibility: The Sharingan Shatters,must-watch,Suite combat,
16,The Broken Seal,must-watch,Kyubi se réveille,
17,White Past: Hidden Ambition,must-watch,Passé de Haku,
18,The Weapons Known as Shinobi,must-watch,Mort de Haku et Zabuza,
19,The Demon in the Snow,must-watch,Fin arc Land of Waves,
20,A New Chapter Begins: The Chunin Exam!,must-watch,Début examen Chunin,
21,Identify Yourself: Powerful New Rivals,must-watch,Nouveaux rivaux,
22,Chunin Challenge: Rock Lee vs. Sasuke!,must-watch,Lee vs Sasuke,
23,Genin Takedown! All Nine Rookies Face Off!,must-watch,9 rookies,
24,Start Your Engines: The Chunin Exam Begins!,must-watch,Début épreuve écrite,
25,The Tenth Question: All or Nothing!,must-watch,Question 10,
26,Special Report: Live from the Forest of Death!,must-watch,Début épreuve forêt,
27,The Chunin Exam Stage 2: The Forest of Death,must-watch,Forêt de la mort,
28,Eat or be Eaten: Panic in the Forest,must-watch,Orochimaru apparaît,
29,Naruto's Counterattack: Never Give In!,must-watch,Naruto vs Orochimaru,
30,The Sharingan Revived: Dragon-Flame Jutsu!,must-watch,Sasuke vs Orochimaru,
31,Bushy Brow's Pledge: Undying Love and Protection!,must-watch,Lee protège Sakura,
32,Sakura Blossoms!,must-watch,Sakura se bat,
33,Battle Formation: Ino-Shika-Cho!,must-watch,Formation Ino-Shika-Cho,
34,Akamaru Trembles: Gaara's Cruel Strength!,must-watch,Gaara cruel,
35,The Scroll's Secret: No Peeking Allowed,must-watch,Secret du parchemin,
36,Clone vs. Clone: Mine are Better than Yours!,optional,Filler,
37,Surviving the Cut! The Rookie Nine Together Again!,must-watch,9 survivants,
38,Narrowing the Field: Sudden Death Elimination!,must-watch,Elimination,
39,Bushy Brow's Jealousy: Lions Barrage Unleashed!,optional,Filler,
40,Kakashi and Orochimaru: Face-to-Face!,must-watch,Confrontation,
41,Kunoichi Rumble: The Rivals Get Serious!,must-watch,Combat filles,
42,The Ultimate Battle: Cha!,must-watch,Sakura vs Ino,
43,Killer Kunoichi and a Shaky Shikamaru,must-watch,Temari vs Tenten,
44,Akamaru Unleashed! Who's Top Dog Now?,optional,Filler,
45,Surprise Attack! Naruto's Secret Weapon!,must-watch,Secret Naruto,
46,Byakugan Battle: Hinata Grows Bold!,must-watch,Hinata vs Neji,
47,A Failure Stands Tall!,must-watch,Discours Naruto,
48,Gaara vs. Rock Lee: The Power of Youth Explodes!,must-watch,Combat légendaire Gaara vs Lee,
49,Lee's Hidden Strength: Forbidden Secret Jutsu!,must-watch,8 portes,
50,The Fifth Gate: A Splendid Ninja is Born!,must-watch,Lee utilise les 8 portes,
51,A Shadow in Darkness: Danger Approaches Sasuke,must-watch,Gaara terrifiant,
52,Ebisu Returns: Naruto's Toughest Training Yet!,optional,Filler,
