episode,title,type,note
1,A Fierce Battle of Rolling Thunder!,skip,Filler arc Tea
2,The Last Leg: A Final Act of Desperation,skip,Filler arc Tea
3,The Battle Begins: Naruto vs. Sasuke,must-watch,Début combat final Naruto vs Sasuke
4,Bitter Rivals and Broken Bonds,must-watch,Combat Naruto vs Sasuke
5,An Invitation from the Sound,must-watch,Sasuke part
6,Formation! The Sasuke Retrieval Squad!,must-watch,Équipe de récupération
7,Sound vs. Leaf,must-watch,Combat début
8,Squad Mutiny: Everything Falls Apart!,must-watch,Problèmes dans l'équipe
9,Full Throttle Power! Choji Ablaze!,must-watch,Choji vs Jirobo
10,Good-bye Old Friend...! I'll Always Believe in You!,must-watch,Choji utilise pilules
11,Your Opponent is Me!,must-watch,Kiba vs Sakon
12,Losing is Not an Option!,must-watch,Kiba combat
13,The Vessel Arrives Too Late,must-watch,Sasuke dans le vase
14,The Vessel Cracks,must-watch,Kimimaro apparaît
15,Miscalculation: A New Enemy Appears!,must-watch,Nouveau ennemi
16,Roar and Howl! The Ultimate Tag-Team!,must-watch,Gaara vs Kimimaro
17,To Each His Own Battle,must-watch,Combats multiples
18,Fakeout: Shikamaru's Comeback!,must-watch,Shikamaru stratège
19,The Leaf's Handsome Devil!,must-watch,Lee vs Kimimaro
20,The Beast Within,must-watch,Lee boit alcool
21,The Sand Shinobi: Allies of the Leaf,must-watch,Gaara sauve Lee
22,Showdown: Gaara vs. Kimimaro!,must-watch,Combat légendaire Gaara vs Kimimaro
23,Vengeful Strike! The Bracken Dance!,must-watch,Kimimaro technique finale
24,A Cry on Deaf Ears,must-watch,Naruto rattrape Sasuke
25,Brothers: Distance Among the Uchiha,must-watch,Flashback Sasuke
26,Father and Son: The Broken Crest,must-watch,Histoire Uchiha
27,The Secrets of the Mangekyo Sharingan!,must-watch,Secrets Sharingan
28,For a Friend...,must-watch,Naruto vs Sasuke début
29,A Plea from a Friend,must-watch,Naruto vs Sasuke
30,The End of Tears,must-watch,Combat final
31,The Promise That Could Not Be Kept,must-watch,Sasuke s'en va
32,Deep Cover?! A Super S-Ranked Mission!,skip,Filler arc Kaima
33,A Town of Outlaws: The Shadow of the Fuma Clan,skip,Filler arc Kaima
34,Ambition! The Eyes of the Mangekyo,skip,Filler arc Kaima
35,The Forest of Death is Always a Good Place to Start,skip,Filler arc Kaima
36,The Mind's Eye of a Transcendent Archer,skip,Filler arc Kaima
37,The Successor,skip,Filler arc Kaima
38,A Battle of Attrition,skip,Filler arc Kaima
39,The Sound of a Silent Flute,skip,Filler arc Kaima
40,The Sound of a Silent Flute Part 2,skip,Filler arc Kaima
41,Succeeding the Will of Fire,skip,Filler
42,The Unfinished Page,skip,Filler
43,The Formidable Enemy: The Mad Scientist,skip,Filler arc Menma
44,The Formidable Enemy: The Mad Scientist Part 2,skip,Filler arc Menma
45,What's the Difference? Don't All Insects Look Alike?,skip,Filler arc Menma
46,The Forbidden Punishment: The Cursed Mark,skip,Filler arc Menma
47,Beastie Prey,skip,Filler arc Menma
48,The Mark of the Curse,skip,Filler arc Menma
49,The Mark of the Curse Part 2,skip,Filler arc Menma
50,The Battle Begins: Naruto vs. Sasuke Revisited,skip,Filler clip show
51,The Battle Begins: Naruto vs. Sasuke Revisited Part 2,skip,Filler clip show
52,The Impossible Dream,skip,Filler arc Raiga
53,The Cursed Warrior,skip,Filler arc Raiga
54,The Cursed Warrior Part 2,skip,Filler arc Raiga
