episode,title,type,note
1,Adrift,must-watch,Suite First Strike - Atlantis perdue dans l'espace
2,Lifeline,must-watch,Weir capturenant les Réplicateurs
3,Reunion,must-watch,Samantha Carter rejoint l'équipe
3,Doppelganger,important,Créature cauchemardesque
4,Travelers,important,Nouvelle faction humaine
5,Tabula Rasa,important,Amnésie collective
6,Missing,optional,Teyla et Keller enlevées
7,The Seer,important,Prophétie sur la destruction d'Atlantis
8,Miller's Crossing,important,Conflit avec la société secrète
9,This Mortal Coil,must-watch,L'équipe découvre qu'ils sont des clones
10,Be All My Sins Remember'd,must-watch,Alliance contre les Réplicateurs
11,Spoils of War,important,Technologie Wraith ancienne
12,Quarantine,optional,Lockdown sur Atlantis
13,Harmony,optional,Aventure avec une jeune princesse
14,Outcast,important,Retour sur Terre - Sheppard et son père
15,Trio,optional,McKay Carter et Keller coincés
16,Midway,must-watch,Station midway attaquée
17,The Kindred (Part 1),must-watch,Début arc finale - Michaël enlève Teyla
18,The Kindred (Part 2),must-watch,Suite arc - Recherche de Teyla
19,The Last Man,must-watch,Sheppard voyage dans le futur
20,The Last Man (Part 2),must-watch,Sauver le futur et présent
